#arch;vendor;family;model;microarch
x86_64;GenuineIntel;6;22;Merom
x86_64;GenuineIntel;6;23;Penryn
x86_64;GenuineIntel;6;26;NHM
x86_64;GenuineIntel;6;28;Atom
x86_64;GenuineIntel;6;30;NHM-EP
x86_64;GenuineIntel;6;37;WST
x86_64;GenuineIntel;6;42;SNB
x86_64;GenuineIntel;6;44;WST-EP
x86_64;GenuineIntel;6;45;SNB-EP
x86_64;GenuineIntel;6;46;NHM-EX
x86_64;GenuineIntel;6;47;WST-EX
x86_64;GenuineIntel;6;55;SLM
x86_64;GenuineIntel;6;58;IVB
x86_64;GenuineIntel;6;60;HSW
x86_64;GenuineIntel;6;61;BDW
x86_64;GenuineIntel;6;62;IVB-EP
x86_64;GenuineIntel;6;63;HSW-EP
x86_64;GenuineIntel;6;69;HSW-UY
x86_64;GenuineIntel;6;70;HSW
x86_64;GenuineIntel;6;71;BDW-H
x86_64;GenuineIntel;6;77;SLM_AVT
x86_64;GenuineIntel;6;78;SKL-UY
x86_64;GenuineIntel;6;79;BDW-EP
x86_64;GenuineIntel;6;85;SKL-SP
x86_64;GenuineIntel;6;86;BDX-D
x86_64;GenuineIntel;6;87;KNL
x86_64;GenuineIntel;6;92;GLM
x86_64;GenuineIntel;6;94;SKL-S
x86_64;GenuineIntel;6;95;GLM_DNV
x86_64;GenuineIntel;6;142;KBL-UY
x86_64;GenuineIntel;6;158;KBL-HS
i386;GenuineIntel;6;22;Merom
i386;GenuineIntel;6;23;Penryn
i386;GenuineIntel;6;26;NHM
i386;GenuineIntel;6;28;Atom
i386;GenuineIntel;6;30;NHM-EP
i386;GenuineIntel;6;37;WST
i386;GenuineIntel;6;42;SNB
i386;GenuineIntel;6;44;WST-EP
i386;GenuineIntel;6;45;SNB-EP
i386;GenuineIntel;6;46;NHM-EX
i386;GenuineIntel;6;47;WST-EX
i386;GenuineIntel;6;55;SLM
i386;GenuineIntel;6;58;IVB
i386;GenuineIntel;6;60;HSW
i386;GenuineIntel;6;61;BDW
i386;GenuineIntel;6;62;IVB-EP
i386;GenuineIntel;6;63;HSW-EP
i386;GenuineIntel;6;69;HSW-UY
i386;GenuineIntel;6;70;HSW
i386;GenuineIntel;6;71;BDW-H
i386;GenuineIntel;6;77;SLM_AVT
i386;GenuineIntel;6;78;SKL-UY
i386;GenuineIntel;6;79;BDW-EP
i386;GenuineIntel;6;85;SKL-SP
i386;GenuineIntel;6;86;BDX-D
i386;GenuineIntel;6;87;KNL
i386;GenuineIntel;6;92;GLM
i386;GenuineIntel;6;94;SKL-S
i386;GenuineIntel;6;95;GLM_DNV
i386;GenuineIntel;6;142;KBL-UY
i386;GenuineIntel;6;158;KBL-HS
ppc64;IBM;;53;POWER4
ppc64;IBM;;56;POWER4+
ppc64;IBM;;57;970
ppc64;IBM;;58;POWER5
ppc64;IBM;;59;POWER5+
ppc64;IBM;;60;970FX
ppc64;IBM;;62;POWER6
ppc64;IBM;;63;POWER7
ppc64;IBM;;68;970MP
ppc64;IBM;;69;970GX
ppc64;IBM;;74;POWER7+
ppc64;IBM;;75;POWER8E
ppc64;IBM;;76;POWER8NVL
ppc64;IBM;;77;POWER8
ppc64le;IBM;;75;POWER8E
ppc64le;IBM;;76;POWER8NVL
ppc64le;IBM;;77;POWER8
